region,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,stroma,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,tumor,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,lymphocytes,all,all,all,all,all,all,all,all,all,all
feature,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity,HE_proportion,CD8_ratio,CD8_proportion,CD8_purity,CD163_ratio,CD163_proportion,CD163_purity,PDL1_ratio,PDL1_proportion,PDL1_purity
0,0.1857618369,0.0328733748,0.2992535482,0.40261983240000004,0.041990405300000005,0.3051540482,0.5142815442,0.0067848922999999995,0.0742033681,0.0830986234,0.5172695437,0.0135637176,0.3438224013,0.2810702612,0.020365904299999998,0.4121290038,0.42202662979999994,0.0143277696,0.43633460869999996,0.2969031089,0.2969686194,0.0245260005,0.3569240505,0.3191158693,0.0243348521,0.282716948,0.3166287752,0.0279952453,0.4894620233,0.3642553555,1,0.020406169,1,0.3241485726,0.025561564300000002,1,0.4060411619,0.0169854022,1,0.26981026550000003
1,0.9845191626,0.015106317900000001,0.9768909997,0.35242211590000005,0.0261475914,0.9882116902,0.6100089724000001,0.0016103641,0.9877638809,0.0375689117,0.0123900658,0.0180901628,0.0147224267,0.48214018270000003,0.018454953700000002,0.0087776993,0.4918626129,0.0009754293,0.0075296414,0.0259972043,0.0030907715999999997,0.0413099182,0.0083865736,0.5975831636,0.025374269100000003,0.0030106104999999997,0.3670604209,0.0024441295,0.0047064777,0.035356415499999995,1,0.0152242773,1,0.3550500698,0.026049888900000002,1,0.6075174994,0.0016050742,1,0.0374324308
2,0.7823295758,0.0222578979,0.8351439605,0.5036790953,0.0174134049,0.8267211079000001,0.39405194810000005,0.0045193299,0.7956800381999999,0.10226895650000001,0.20705104289999998,0.0127628531,0.1267396905,0.44655946090000004,0.012407783300000001,0.1559039793,0.4341359237,0.003409775,0.1588831392,0.1193046154,0.010619381399999999,0.0748384229,0.0381163489,0.6194627998,0.026961114300000002,0.0173749128,0.2231662122,0.0190122741,0.045436822599999996,0.15737098800000002,1,0.020850311599999997,1,0.49914337299999995,0.0164783765,1,0.39448199030000003,0.0044435015000000005,1,0.10637463679999999
3,0.8898363509,0.0066156467,0.8914654178,0.4405743107,0.007800908499999999,0.9117704609,0.5195077735,0.0005994059,0.7618245490000001,0.0399179158,0.10152375539999998,0.0045178697,0.0694581848,0.4196135773,0.0049936843,0.0665915233,0.4638065899,0.0012551846,0.182011614,0.11657983279999999,0.0086398937,0.0298664818,0.039076397400000004,0.5584136472,0.0190668453,0.0216380157,0.35649283049999997,0.0045511856,0.056163837,0.0850935223,1,0.0066035573,1,0.44268881200000004,0.0076132451,1,0.5103761936,0.0007001259,1,0.046934994400000006
4,0.8280616352,0.008186294,0.5869032936,0.3399057332,0.009182811899999999,0.6720970079999999,0.38128247130000004,0.006714906800000001,0.365169562,0.2788117955,0.1502232443,0.0214336815,0.2787728369,0.2318030431,0.0196993347,0.2615666116,0.2130462623,0.051332040499999995,0.5064278489,0.5551506946,0.021715120600000002,0.07144542179999999,0.1343238695,0.3644358361,0.0345617652,0.0663363803,0.17629605210000002,0.0900367108,0.1284025891,0.4592681118,1,0.0115500391,1,0.3032257262,0.0113137451,1,0.2970222471,0.0152267804,1,0.3997520266
5,0.8889379053,0.053216956600000004,0.8474272268999999,0.5527261496,0.0336915071,0.8934818186,0.3499293868,0.00937241,0.8129990379,0.0973444636,0.0816856604,0.0642010138,0.0939439169,0.6206944966,0.027224046499999998,0.06634258009999999,0.2632016979,0.0120090996,0.0957246082,0.1161038055,0.0293764344,0.1114118505,0.0586288562,0.5891818849,0.045842621900000005,0.0401756013,0.2424306057,0.0318413795,0.0912763538,0.1683875093,1,0.0558237551,1,0.5605257977,0.0335201648,1,0.33657565780000004,0.0102478479,1,0.1028985445
6,0.8527893617,0.009806670699999999,0.8247613364,0.3350461557,0.018864551599999998,0.8325773593000001,0.6445098092,0.0005983890000000001,0.8322817802,0.020444035,0.14170066720000002,0.0116890221,0.1633484442,0.3405447556,0.0219493125,0.1609641475,0.6394652326,0.0006861468,0.15857472720000002,0.0199900118,0.005509971,0.0218814263,0.011890219399999999,0.4804067694,0.0226488187,0.006458493199999999,0.49725487240000005,0.001017461,0.0091434926,0.0223383582,1,0.0101399327,1,0.3371483512,0.0193225154,1,0.6424652309000001,0.0006131334,1,0.020386418
7,0.9110003217,0.0109096109,0.6907364985,0.4974500212,0.0102743157,0.8978902038,0.4684822076,0.0007471426,0.7149463996,0.0340677712,0.0658826034,0.009128942,0.0417999548,0.4597253054,0.0101175572,0.0639437669,0.5095110804999999,0.0006108849,0.042274800599999995,0.030763614100000003,0.023117074799999998,0.1664742652,0.2674635467,0.8595191297,0.0172104532,0.0381660293,0.08885886189999999,0.009998306700000001,0.2427787997,0.051622008399999995,1,0.014388495500000001,1,0.5584544150999999,0.0104243313,1,0.40459503399999996,0.0009520255000000001,1,0.0369505509
8,0.8164429668000001,0.0014382179000000002,0.8154403109999999,0.062442516399999995,0.019716748,0.8738273885,0.8560339818000001,0.0018777039000000002,0.6512892686,0.0815235018,0.1813192559,0.0014548862,0.18319542030000002,0.0780128648,0.0127584565,0.12557598150000002,0.6841247901999999,0.0044359690000000005,0.3417066239,0.237862345,0.0022377773,0.0008778925999999999,0.0013642685999999998,0.0667248147,0.0049116083,0.00059663,0.37331007409999994,0.0073674123999999995,0.0070041075,0.5599651111999999,1,0.0014399863,1,0.0648181649,0.0184219452,1,0.8292278206999999,0.0023538514000000003,1,0.10595401439999999
